,opinion,opinion_tri,opinion_bin,opinion_abs,babysitter,cdmx,constant,edad,edad_sq,hijos,hijos_bin,hijos_prim,hijos_prim_o_secu,hijos_secu,hijos_x_babysitter,hijos_x_prim_o_secu,imss,internet,mujer,pcs,publica,ratio_imss_resid,ratio_imss_trab,ratio_pcs_hijos,ratio_pcs_resid,ratio_trab_resid,ratio_tvs_resid,residentes,trabajadores,transporte,tvs,vacunado,vulnerable,wfh
200,2.0,1.0,0.0,,0.0,Cuahutémoc,1,29.0,841.0,1.0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.3333333333333333,0.5,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,2.0,0.0,2.0,1.0,1.0,1.0
202,1.0,0.0,0.0,0.0,0.0,Coyoacán,1,24.0,576.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.5,0.0,1.0,0.6666666666666666,0.6666666666666666,3.0,2.0,1.0,2.0,1.0,0.0,1.0
203,1.0,0.0,0.0,0.0,1.0,Coyoacán,1,62.0,3844.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.5,1.5,2.0,1.0,1.0,3.0,1.0,1.0,1.0
206,1.0,0.0,0.0,0.0,0.0,Gustavo A. Madero,1,41.0,1681.0,2.0,1,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,5.0,1.0,0.5,1.0,5.0,1.25,0.5,0.25,4.0,2.0,1.0,1.0,1.0,0.0,1.0
207,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,47.0,2209.0,2.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,2.0,1.0,2.0,1.0,1.0,0.0
208,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,43.0,1849.0,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6666666666666666,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0
209,1.0,0.0,0.0,0.0,0.0,Iztapalapa,1,59.0,3481.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,3.0,3.0,0.0,1.0,1.0,1.0,1.0
210,4.0,2.0,1.0,1.0,1.0,Benito Juárez,1,70.0,4900.0,4.0,1,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0,1.0,0.75,1.0,5.0,1.25,0.75,0.5,4.0,3.0,1.0,2.0,1.0,0.0,1.0
211,3.0,2.0,1.0,1.0,0.0,Benito Juárez,1,30.0,900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.2,0.5,0.0,0.4,0.4,0.2,5.0,2.0,0.0,1.0,1.0,1.0,0.0
213,3.0,2.0,1.0,1.0,1.0,Iztacalco,1,44.0,1936.0,2.0,1,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0.8,1.3333333333333333,4.0,0.8,0.6,0.4,5.0,3.0,1.0,2.0,1.0,1.0,1.0
214,3.0,2.0,1.0,1.0,0.0,Coyoacán,1,61.0,3721.0,1.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,1.5,2.0,1.0,1.0,3.0,1.0,1.0,1.0
215,3.0,2.0,1.0,1.0,1.0,Xochimilco,1,32.0,1024.0,1.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.6666666666666666,1.0,3.0,1.0,0.6666666666666666,1.3333333333333333,3.0,2.0,1.0,4.0,1.0,0.0,1.0
216,1.0,0.0,0.0,0.0,0.0,Benito Juárez,1,34.0,1156.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
217,2.0,1.0,0.0,,1.0,Gustavo A. Madero,1,48.0,2304.0,2.0,1,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,0.375,0.75,4.0,0.5,0.5,0.375,8.0,4.0,0.0,3.0,1.0,1.0,0.0
